resume_text,job_description,label
"QA Automation Engineer Seeking a QA Engineer skilled in Selenium, test automation, and software quality assurance. for enterprise solutions.","Product Data Analyst Seeking a Product Data Analyst to analyze user behavior, product metrics, and A/B testing results to improve product decisions. for enterprise solutions.",0
"QA Automation Engineer Seeking a QA Engineer skilled in Selenium, test automation, and software quality assurance. for startup environments.","QA Automation Engineer Seeking a QA Engineer skilled in Selenium, test automation, and software quality assurance. for startup environments.",1
"QA Automation Engineer Seeking a QA Engineer skilled in Selenium, test automation, and software quality assurance. for startup environments.","Software Tester Seeking a Software Tester for bug tracking, test cases, and software validation. for enterprise solutions.",0
"QA Automation Engineer Seeking a QA Engineer skilled in Selenium, test automation, and software quality assurance. for global teams.","QA Automation Engineer Seeking a QA Engineer skilled in Selenium, test automation, and software quality assurance. for global teams.",1
"QA Automation Engineer Seeking a QA Engineer skilled in Selenium, test automation, and software quality assurance. for global teams.","Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for enterprise solutions.",0
"Manual Tester Seeking a Manual Tester for functional, regression, and usability testing. for enterprise solutions.","Manual Tester Seeking a Manual Tester for functional, regression, and usability testing. for enterprise solutions.",1
"Manual Tester Seeking a Manual Tester for functional, regression, and usability testing. for enterprise solutions.","Manual Tester Seeking a Manual Tester for functional, regression, and usability testing. for global teams.",0
"Manual Tester Seeking a Manual Tester for functional, regression, and usability testing. for startup environments.","Manual Tester Seeking a Manual Tester for functional, regression, and usability testing. for startup environments.",1
"Manual Tester Seeking a Manual Tester for functional, regression, and usability testing. for startup environments.","Business Intelligence Analyst Seeking a BI Analyst to build dashboards, KPIs, and reports using Power BI, Tableau, SQL, and stakeholder communication. for startup environments.",0
"Manual Tester Seeking a Manual Tester for functional, regression, and usability testing. for global teams.","Manual Tester Seeking a Manual Tester for functional, regression, and usability testing. for global teams.",1
"Manual Tester Seeking a Manual Tester for functional, regression, and usability testing. for global teams.","Business Intelligence Analyst Seeking a BI Analyst to build dashboards, KPIs, and reports using Power BI, Tableau, SQL, and stakeholder communication. for global teams.",0
"Database Administrator Seeking a DBA with MySQL, PostgreSQL, indexing, backup, and performance tuning experience. for enterprise solutions.","Database Administrator Seeking a DBA with MySQL, PostgreSQL, indexing, backup, and performance tuning experience. for enterprise solutions.",1
"Database Administrator Seeking a DBA with MySQL, PostgreSQL, indexing, backup, and performance tuning experience. for enterprise solutions.","Manual Tester Seeking a Manual Tester for functional, regression, and usability testing. for startup environments.",0
"Database Administrator Seeking a DBA with MySQL, PostgreSQL, indexing, backup, and performance tuning experience. for startup environments.","Database Administrator Seeking a DBA with MySQL, PostgreSQL, indexing, backup, and performance tuning experience. for startup environments.",1
"Database Administrator Seeking a DBA with MySQL, PostgreSQL, indexing, backup, and performance tuning experience. for startup environments.","Cybersecurity Analyst Seeking a Cybersecurity Analyst for penetration testing, vulnerability assessment, and incident response. for startup environments.",0
"Database Administrator Seeking a DBA with MySQL, PostgreSQL, indexing, backup, and performance tuning experience. for global teams.","Database Administrator Seeking a DBA with MySQL, PostgreSQL, indexing, backup, and performance tuning experience. for global teams.",1
"Database Administrator Seeking a DBA with MySQL, PostgreSQL, indexing, backup, and performance tuning experience. for global teams.","QA Automation Engineer Seeking a QA Engineer skilled in Selenium, test automation, and software quality assurance. for startup environments.",0
"Data Engineer Seeking a Data Engineer to build ETL pipelines, manage big data systems, and optimize data warehouses. for enterprise solutions.","Data Engineer Seeking a Data Engineer to build ETL pipelines, manage big data systems, and optimize data warehouses. for enterprise solutions.",1
"Data Engineer Seeking a Data Engineer to build ETL pipelines, manage big data systems, and optimize data warehouses. for enterprise solutions.","Full Stack Developer Seeking a Full Stack Developer with React, Node.js, MongoDB, and deployment skills. for startup environments.",0
"Data Engineer Seeking a Data Engineer to build ETL pipelines, manage big data systems, and optimize data warehouses. for startup environments.","Data Engineer Seeking a Data Engineer to build ETL pipelines, manage big data systems, and optimize data warehouses. for startup environments.",1
"Data Engineer Seeking a Data Engineer to build ETL pipelines, manage big data systems, and optimize data warehouses. for startup environments.","UI Developer Seeking a UI Developer skilled in HTML, CSS, JavaScript, animations, and responsive layouts. for global teams.",0
"Data Engineer Seeking a Data Engineer to build ETL pipelines, manage big data systems, and optimize data warehouses. for global teams.","Data Engineer Seeking a Data Engineer to build ETL pipelines, manage big data systems, and optimize data warehouses. for global teams.",1
"Data Engineer Seeking a Data Engineer to build ETL pipelines, manage big data systems, and optimize data warehouses. for global teams.","Software Tester Seeking a Software Tester for bug tracking, test cases, and software validation. for global teams.",0
"Blockchain Developer Seeking a Blockchain Developer skilled in Solidity, Ethereum, smart contracts, and Web3. for enterprise solutions.","Blockchain Developer Seeking a Blockchain Developer skilled in Solidity, Ethereum, smart contracts, and Web3. for enterprise solutions.",1
"Blockchain Developer Seeking a Blockchain Developer skilled in Solidity, Ethereum, smart contracts, and Web3. for enterprise solutions.","Computer Vision Engineer Seeking a CV Engineer to develop object detection, image classification, and OCR solutions using OpenCV and PyTorch. for startup environments.",0
"Blockchain Developer Seeking a Blockchain Developer skilled in Solidity, Ethereum, smart contracts, and Web3. for startup environments.","Blockchain Developer Seeking a Blockchain Developer skilled in Solidity, Ethereum, smart contracts, and Web3. for startup environments.",1
"Blockchain Developer Seeking a Blockchain Developer skilled in Solidity, Ethereum, smart contracts, and Web3. for startup environments.","Manual Tester Seeking a Manual Tester for functional, regression, and usability testing. for startup environments.",0
"Blockchain Developer Seeking a Blockchain Developer skilled in Solidity, Ethereum, smart contracts, and Web3. for global teams.","Blockchain Developer Seeking a Blockchain Developer skilled in Solidity, Ethereum, smart contracts, and Web3. for global teams.",1
"Blockchain Developer Seeking a Blockchain Developer skilled in Solidity, Ethereum, smart contracts, and Web3. for global teams.",Java Spring Developer Seeking a Java Developer with Spring Boot and Hibernate for enterprise backend applications. for global teams.,0
"Game Developer Seeking a Game Developer with Unity, Unreal Engine, and C# experience. for enterprise solutions.","Game Developer Seeking a Game Developer with Unity, Unreal Engine, and C# experience. for enterprise solutions.",1
"Game Developer Seeking a Game Developer with Unity, Unreal Engine, and C# experience. for enterprise solutions.","NLP Engineer Seeking an NLP Engineer to create chatbots, sentiment analysis systems, and language models using transformers and Python. for startup environments.",0
"Game Developer Seeking a Game Developer with Unity, Unreal Engine, and C# experience. for startup environments.","Game Developer Seeking a Game Developer with Unity, Unreal Engine, and C# experience. for startup environments.",1
"Game Developer Seeking a Game Developer with Unity, Unreal Engine, and C# experience. for startup environments.","Marketing Data Analyst Seeking a Marketing Data Analyst to evaluate campaign performance, customer segmentation, and ROI analysis using Tableau, Excel, and SQL. for enterprise solutions.",0
"Game Developer Seeking a Game Developer with Unity, Unreal Engine, and C# experience. for global teams.","Game Developer Seeking a Game Developer with Unity, Unreal Engine, and C# experience. for global teams.",1
"Game Developer Seeking a Game Developer with Unity, Unreal Engine, and C# experience. for global teams.","Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for startup environments.",0
"Full Stack Developer Seeking a Full Stack Developer with React, Node.js, MongoDB, and deployment skills. for enterprise solutions.","Full Stack Developer Seeking a Full Stack Developer with React, Node.js, MongoDB, and deployment skills. for enterprise solutions.",1
"Full Stack Developer Seeking a Full Stack Developer with React, Node.js, MongoDB, and deployment skills. for enterprise solutions.","DevOps Engineer Seeking a DevOps Engineer for CI/CD pipelines, Docker, Kubernetes, AWS, and automation scripting. for global teams.",0
"Full Stack Developer Seeking a Full Stack Developer with React, Node.js, MongoDB, and deployment skills. for startup environments.","Full Stack Developer Seeking a Full Stack Developer with React, Node.js, MongoDB, and deployment skills. for startup environments.",1
"Full Stack Developer Seeking a Full Stack Developer with React, Node.js, MongoDB, and deployment skills. for startup environments.","Software Tester Seeking a Software Tester for bug tracking, test cases, and software validation. for enterprise solutions.",0
"Full Stack Developer Seeking a Full Stack Developer with React, Node.js, MongoDB, and deployment skills. for global teams.","Full Stack Developer Seeking a Full Stack Developer with React, Node.js, MongoDB, and deployment skills. for global teams.",1
"Full Stack Developer Seeking a Full Stack Developer with React, Node.js, MongoDB, and deployment skills. for global teams.","Business Analyst Seeking a Business Analyst for requirement gathering, KPI analysis, and stakeholder communication. for startup environments.",0
"Business Analyst Seeking a Business Analyst for requirement gathering, KPI analysis, and stakeholder communication. for enterprise solutions.","Business Analyst Seeking a Business Analyst for requirement gathering, KPI analysis, and stakeholder communication. for enterprise solutions.",1
"Business Analyst Seeking a Business Analyst for requirement gathering, KPI analysis, and stakeholder communication. for enterprise solutions.",Flutter Developer Seeking a Flutter Developer for cross-platform app development and API integration. for enterprise solutions.,0
"Business Analyst Seeking a Business Analyst for requirement gathering, KPI analysis, and stakeholder communication. for startup environments.","Business Analyst Seeking a Business Analyst for requirement gathering, KPI analysis, and stakeholder communication. for startup environments.",1
"Business Analyst Seeking a Business Analyst for requirement gathering, KPI analysis, and stakeholder communication. for startup environments.","Computer Vision Engineer Seeking a CV Engineer to develop object detection, image classification, and OCR solutions using OpenCV and PyTorch. for enterprise solutions.",0
"Business Analyst Seeking a Business Analyst for requirement gathering, KPI analysis, and stakeholder communication. for global teams.","Business Analyst Seeking a Business Analyst for requirement gathering, KPI analysis, and stakeholder communication. for global teams.",1
"Business Analyst Seeking a Business Analyst for requirement gathering, KPI analysis, and stakeholder communication. for global teams.","Product Data Analyst Seeking a Product Data Analyst to analyze user behavior, product metrics, and A/B testing results to improve product decisions. for startup environments.",0
"Cloud Engineer Seeking a Cloud Engineer experienced in AWS deployment, monitoring, and infrastructure automation. for enterprise solutions.","Cloud Engineer Seeking a Cloud Engineer experienced in AWS deployment, monitoring, and infrastructure automation. for enterprise solutions.",1
"Cloud Engineer Seeking a Cloud Engineer experienced in AWS deployment, monitoring, and infrastructure automation. for enterprise solutions.","Frontend React Developer Seeking a React Developer to build responsive interfaces, reusable components, and integrate REST APIs. for startup environments.",0
"Cloud Engineer Seeking a Cloud Engineer experienced in AWS deployment, monitoring, and infrastructure automation. for startup environments.","Cloud Engineer Seeking a Cloud Engineer experienced in AWS deployment, monitoring, and infrastructure automation. for startup environments.",1
"Cloud Engineer Seeking a Cloud Engineer experienced in AWS deployment, monitoring, and infrastructure automation. for startup environments.","Data Engineer Seeking a Data Engineer to build ETL pipelines, manage big data systems, and optimize data warehouses. for startup environments.",0
"Cloud Engineer Seeking a Cloud Engineer experienced in AWS deployment, monitoring, and infrastructure automation. for global teams.","Cloud Engineer Seeking a Cloud Engineer experienced in AWS deployment, monitoring, and infrastructure automation. for global teams.",1
"Cloud Engineer Seeking a Cloud Engineer experienced in AWS deployment, monitoring, and infrastructure automation. for global teams.",iOS Developer Seeking an iOS Developer with Swift and UIKit experience for mobile applications. for enterprise solutions.,0
"Software Tester Seeking a Software Tester for bug tracking, test cases, and software validation. for enterprise solutions.","Software Tester Seeking a Software Tester for bug tracking, test cases, and software validation. for enterprise solutions.",1
"Software Tester Seeking a Software Tester for bug tracking, test cases, and software validation. for enterprise solutions.","Cybersecurity Analyst Seeking a Cybersecurity Analyst for penetration testing, vulnerability assessment, and incident response. for global teams.",0
"Software Tester Seeking a Software Tester for bug tracking, test cases, and software validation. for startup environments.","Software Tester Seeking a Software Tester for bug tracking, test cases, and software validation. for startup environments.",1
"Software Tester Seeking a Software Tester for bug tracking, test cases, and software validation. for startup environments.",iOS Developer Seeking an iOS Developer with Swift and UIKit experience for mobile applications. for global teams.,0
"Software Tester Seeking a Software Tester for bug tracking, test cases, and software validation. for global teams.","Software Tester Seeking a Software Tester for bug tracking, test cases, and software validation. for global teams.",1
"Software Tester Seeking a Software Tester for bug tracking, test cases, and software validation. for global teams.","Full Stack Developer Seeking a Full Stack Developer with React, Node.js, MongoDB, and deployment skills. for global teams.",0
